"","datetime","pm10","pm2p5"
"2931",2022-04-08 18:55:00,6.34776,-3.9284
"2932",2022-04-08 19:00:00,0.77003,-5.2757
"2933",2022-04-08 19:05:00,-3.81259,-4.51624
"2934",2022-04-08 19:10:00,-3.35325,-3.44836
"2935",2022-04-08 19:15:00,-5.97552,-5.40769
"2936",2022-04-08 19:20:00,-9.2041,-6.79056
"2937",2022-04-08 19:25:00,-8.32994,-8.45789
"2938",2022-04-08 19:30:00,-5.78016,-8.18943
"2939",2022-04-08 19:35:00,-4.42236,-3.59437
"2940",2022-04-08 19:40:00,0.150701,0.801748
"2941",2022-04-08 19:45:00,1.10904,0.159527
"2942",2022-04-08 19:50:00,0.354398,-1.30818
"2943",2022-04-08 19:55:00,-0.657256,2.69796
"2944",2022-04-08 20:00:00,4.43419,4.49688
"2945",2022-04-08 20:05:00,7.23996,5.07487
"2946",2022-04-08 20:10:00,5.58362,5.55936
"2947",2022-04-08 20:15:00,5.05628,6.17259
"2948",2022-04-08 20:20:00,5.21821,5.26991
"2949",2022-04-08 20:25:00,4.71737,3.64404
"2950",2022-04-08 20:30:00,2.96029,1.23875
"2951",2022-04-08 20:35:00,1.11948,0.842362
"2952",2022-04-08 20:40:00,1.34214,3.14232
"2953",2022-04-08 20:45:00,2.17892,5.25496
"2954",2022-04-08 20:50:00,1.72283,6.02342
"2955",2022-04-08 20:55:00,0.992549,5.12348
"2956",2022-04-08 21:00:00,0.259604,2.42136
"2957",2022-04-08 21:05:00,-0.928895,0.772722
"2958",2022-04-08 21:10:00,-3.10876,-2.03263
"2959",2022-04-08 21:15:00,-4.94315,-1.00528
"2960",2022-04-08 21:20:00,-1.78957,0.11328
"2961",2022-04-08 21:25:00,-1.29707,4.90434
"2962",2022-04-08 21:30:00,-0.770046,10.5096
"2963",2022-04-08 21:35:00,1.05256,7.08387
"2964",2022-04-08 21:40:00,1.12489,1.27546
"2965",2022-04-08 21:45:00,3.02087,-0.0436571
"2966",2022-04-08 21:50:00,5.41695,1.21878
"2967",2022-04-08 21:55:00,5.74802,1.2476
"2968",2022-04-08 22:00:00,3.81411,0.138887
"2969",2022-04-08 22:05:00,3.61205,0.0429034
"2970",2022-04-08 22:10:00,2.51786,0.858888
"2971",2022-04-08 22:15:00,1.04182,3.01696
"2972",2022-04-08 22:20:00,1.1924,3.5945
"2973",2022-04-08 22:25:00,0.560577,3.58182
"2974",2022-04-08 22:30:00,2.03871,6.46203
"2975",2022-04-08 22:35:00,4.25235,3.19741
"2976",2022-04-08 22:40:00,3.94072,1.53484
